სახელი,ფასი,სურათის_URL
Apple MacBook Air 13'' M1 (8GB/256GB) - Space Gray (2020),3999,https://alta.ge/images/thumbnails/270/250/detailed/221/113956_1_eguq-zg.jpg?t=1606650533
Asus Nereus Carry Bag Black,89,https://alta.ge/images/thumbnails/270/250/detailed/121/59101_1.jpg?t=1606670620
Asus X515MA-BR414 - Grey,1399,https://alta.ge/images/thumbnails/270/250/detailed/234/117731_1_fiar-t8.jpg?t=1625948462
Apple MacBook Air 13'' M1 (8GB/256GB) - Gold (2020),3999,https://alta.ge/images/thumbnails/270/250/detailed/221/113957_1.jpg?t=1606650784
HP 240 G8 (203B6EA) - Black,1999,https://alta.ge/images/thumbnails/270/250/detailed/250/125506_1.jpg?t=1649346949
Acer Aspire 3 (NX.HE3ER.00Q) - Black,1399,https://alta.ge/images/thumbnails/270/250/detailed/225/115657_1.jpg?t=1611260559
Lenovo 15.6'' Casual Backpack B210,59,https://alta.ge/images/thumbnails/270/250/detailed/196/99992_1.jpg?t=1606048257
ASUS EOS Carry Bag Yellow,79,https://alta.ge/images/thumbnails/270/250/detailed/124/63490_1.jpg?t=1621239726
Acer Aspire 3 (NX.HS5ER.01G) - Black,1799,https://alta.ge/images/thumbnails/270/250/detailed/239/112718_1_1lem-9j_yhs8-ao_kq2p-f2_3e34-cp_w6cz-d5.jpg?t=1634328947
Asus TUF Gaming F15 (FX506HCB-HN144) - Graphite Black,3599,https://alta.ge/images/thumbnails/270/250/detailed/238/121648_1.jpeg?t=1633353404
Lenovo 15.6'' Casual Toploader T210 Gray,59,https://alta.ge/images/thumbnails/270/250/detailed/196/99975_1.jpg?t=1606047978
Lenovo 15.6'' Casual Toploader T210 Black,59,https://alta.ge/images/thumbnails/270/250/detailed/196/99988_1.png?t=1606049517
Lenovo V14-ADA (82C6006ERU) - Iron Grey,1199,https://alta.ge/images/thumbnails/270/250/detailed/243/113532_1.png?t=1641845878
Asus ROG Flow X13 Touch + XG Mobile GC31S with RTX 3080 (GV301QH-K6231T)...,8999,https://alta.ge/images/thumbnails/270/250/detailed/233/120473.png?t=1647242996
HP 255 G8 (2W1D4EA) Black,1439,https://alta.ge/images/thumbnails/270/250/detailed/242/125307_1.jpg?t=1638821756
